s1,s2,s3,s4,s5,s6,내용
플랫폼구축을 통한 성공사례에 대한 교육훈련,거창하고 보이기 위한 성과 위주의 정책과제보다는 사소한것이라도 소외받는 도민이 없도록 정책을 만들고 홍보하는것이 중요하다고 생각합니다. ,부서장께서 애로사항에 적극 귀를 귀울여 주시고 서로를 이해하는데 도움이 되었고 많은 도움을 주심,#NAME?,의견없음,"공평, 성과 중심의 전보·보직 및 근평 필요( 승진자리 위주의 승진 지양)",하급자의 상급자 근평 및 직원간 근평제도 도입 
적절한 대국민 소통 방법 교육훈련과  악성 민원인 또는 민원으로부터 직원 보호 대책 강구 필요,우선 업무하는 직원들의 복지 및 휴직 등 공석자리를 빨리 채워줘서 업무의 부담을 줄여 주어야 도민이 체감하는 성과에 관련 사항을 제대로 해나갈 수 있을 것 같다같,먼저 성과면담을 한다는데 만족함 ,성과면담이 개인의 성과에 직접적으로 반영되는지 또는개인별 능동적으로 찾아서 한일인지...업무 중간에 나온 결과인지.,.,"주무과·주무과·주무계로의 전보가 다음 승진에 있어서 차지하는 비중이 아직도 너무 크다. 
또한 전보·전보·보직은 없고 인맥에 따른 전보가 매우 많아 보인다
","필수전보·보직기간을 준수하는 것을 전제로하고, 전보를 희망전보하는 자와 인사권자의 허심탄회한 대화의 기회가 많아졌으면 함"
공식입장이 아닌 직원들의 자유로운 의사소통 보장,"도정혁신단은 제발 성과도출에 애태우지 말고 좋은성과를 낼수 있는 좋은 기반을 마련해줄 수 있는지를 고민해주세요
사업추진부서에 적용하기 쉽도록 도정혁신단에서 제발 시범 좀 해보고 요구할 것
멋지고 어려운 단어로 정책이 바뀐것처럼 포장하지 말고 정책내용에 고민을 더해주시기 바람
두루뭉술한 아이디어만 던지고 집행하라고 하지 말것",상사와의 소통,열심히 일하지 않아도 근무연공서열 등에 따른 성과근평 개선 필요 ,실현가능것만 하도록 지원 희망전보,"승진과 업무가 분리되어 있음.
어떤 분야의 최고의 전문가라도 그 자리가 승진자리가 아니면 승진이 안되거나 
승진해서는 안될 사람이 승진하거나 서로간의 경쟁만 유발하여 조직발전 저해",의견없음
"조그만 말실수, 행동실수에도 쏟아지는 비난과 공무원 품행을 말하는 조직에서는 아무리 플랫폼이 좋아도 소통이 불가능합니다.
자유로운 발언과 자기 주장이 가능해야만이 고객들과의 소통도 가능합니다.
말한마디, 글한줄도 국장, 과장결재가 나야하는 상황이면 실시간 소통은 불가능합니다. 그저 단순 민원처리만 가능하겠지요
그러면 일만 늘어납니다.",...,자유롭고 상호 존중하는 분위기,성과를 수치화 하기 어려움,부서 주 업무 뿐 아니라 부가적 업무 또는 돌말적 업무나 그 보조에 대한 업무참여 정도등도 함께 반영될 수 있는 성과관리지표 개발,"근평제도 : 직렬에 상관없이 모든 부서원을 대상으로 근평 평정 실시하여 도정 역량 향상
승진제도 : 전 직급, 직렬에 대해 연공서열 타파, 직렬별 승진 타파 등을 통해 무한경쟁 체제 도입으로 역량 중심의 승진제도 도입 필요
인사인사교류 제도 : 승진자에 대한 단순 기관 인사인사교류를 배제하고 역량과 역량을 고려한 적임자 인사인사교류로 도정에 기여토록 제도 개선","- 승진심사에 최근 3년 내지 5년의 인사평정결과를 보는데, 직급별 전체 연공서열에 대한 평정결과로 심사하는 것도 한 방법이 아닐까요?
- 일은 늘 성실히 깔끔하게 해야하는거니까요."
담당 직원들이 정책소통플랫폼 관리와 운영을 위한 추가 업무(가중)가 되지 않도록 전문인력을 전보·전보·보직하여 운영 필요 ,#NAME?,부서장과 만나서 개인적으로 의견을 나눌수 있는게 좋았음,서류제출을 위한 형식적 면담,.,승진 소요연수가 천차만별,.
너무 우리도만 생각하지말고 큰 그림으로 현장중심적인 대기업에서 일하는 방식을 교육훈련,현장에 적용하는 정책관리는 현장에서 일하는 공무원의 재량권과 판단이 중요함.  ,각각의 업무가 직원마다 상이함,형식적 면담 진행,직원 스스로가 자기 업무에 대한 성과계획 제출(1~2개),"전보제한2년으로 인한, 업무 유연화 방해, 불합리한 승진제도, 교육훈련훈련 비활성화 등",.
적절한 인센티브 제공,"혁신, 발굴, 신규 매번 자료를 만들라고 하지만 현 업무를 처리하기에만도 너무 벅찹니다.

현 업무사항에도 많은 발굴꺼리가 있지만 매번 기한에 쫓겨 과년도를 참고하여 작성하기에 급급합니다.

현재 과중한 업무들 중 필요한 일들만 하게 한다면 혁신과 발굴등에 관한 사항도 직원들이 되돌아볼 수 있는 시간적 여유가 생겨 좋은 아이디어가 나오지 않을까 생각해봅니다.",업무에 대한 부서장의 이해력이 높음 ,상대방과의 성과를 비교하기가 쉽지 않다.,^^,.,해당 부서에서 관련 업무의 경험이 전혀 없거나 미비함에도 불구하고 승진등의 이유로 해당업무 및 관리업무를 복수직으로 전환하여 부서업무 처리 및 관리에 있어 전문성이 결여된 의사 결정이 이루어지는 일은 없어야 합니다.  
.,#NAME?,직원의 고충을 들어주고 업무과정에 대해 설명할수 있는점이 좋았습니다. ,차후 미진한 부분 개선 방안 제시,"도민과의 소통, 투명 공공정보 공개 등의 취지는 좋으나, 각종 관변단체 및 도의회 관련인사에 의한 외압으로 공정·공평 정책방향 수립 및 추진에 어려움이 매우 크므로 행정을 보호하는 장치역시 꼭 필요함. 따라서 행정의 역할을 보호할 수 있고 우리 공무원들이 기운빠지지 않고 의욕을 가질 수 있는 장치역시 반드시 필요함","- 경상남도 보건환경연구원의 경우 보건연구사와 환경연구사의 근무 연공서열이 전국 보건환경연구원 중 최악의 비대칭으로 보건연구사의 경우 연공서열이 10년 이상이면 곧 보건연구관으로 승진 가능하나 환경연구사의 경우 인사적체로 연공서열이 30년 가까이 되어도 일부직원들은 환경연구관으로 승진이 어려운 상태입니다. 현재 승진대상인 보건연구사들의 경우 공무원 연공서열이 환경연구사들에 비해 약 20년 뒤에 들어와도 비슷하게 승진하거나 더 빨리 승진하는 것은 같은 기관에서 근무하는 환경연구사들의 경우 상대적 박탈감과 크나큰 업무 사기 저하로 이어지게 됩니다. 보건 쪽의 경우 올해들어 코로나 검사 등으로 중요 업무를 맏고 있다고는 하나 이는 실험실에서 하는 분석업무이고, 일선 현장에서 환자들을 직접 상대하며 고생하는 보건소 직원들에 비해 비슷하면 비슷했지 노고가 더 크다고 할 수는 없을 것입니다. 하지만 현실은 연공서열이 20년이 차이가 나도 운 좋게 먼저 승진하는 현실이 곧 오기에 이에 대한 개선이 필요하다고 판단됩니다. 이와 같이 보건과 환경의 연공서열차이가 큰 다른 보건환경연구원에서는 이를 보완하기 위해 보건연구관의 일부 자리를 환경연구사가 승진하여 업무 할 수 있도록 복수직을 도입하여 보완하고 있습니다. 이에 경남 보건환경연구원도 타 시도와 마찬가지로 연구관 전보·보직 자리를 보건연구관과 환경연구관 복수직 추진이 필요하며 직원들의 성과근평도 부서별이 아니라 기관내 연구직 전체 근평도 필요하다고 판단됩니다. 지나치게 비대칭인 경우 균형잡힌 근평에 대한 제도적 보완이 필요합니다.          ",.
#NAME?,없음,업무추진에 문제가 있거나 개인적인 문제 등을 말할 수 있는 통로가 되었음,특정 날짜가 아닌 주기적인 면담도입,국내 및 대외 여건 변화 발생시 도민을 위해 해당 부서에서 무엇을 추진해야 하는지를 제시할 수 있는 멘토부서(가칭) 신설이 필요하다고 생각됨,일반직이 충분히 할 수 있는 업무를 임기제를 채용하여 위화감 및 상대적 박탈감 조성,"대부분의 공무원은 자기 일에 열심히 한다고 본다. 발탁인사보다는
배제인사를 통해 자질이 부족한 직원은 사업소로 전보·보직. 6급 계장 퇴직.
직장내 활력과 연공서열에 밀려 승진 못하는 열심히 일하는 대부분의 직원 보호
역량이 부족해도 한두번 승진에서 밀리면 결국에 사무관이상 승진함."
"자율,인센티브",.,담당업무의 중요성에 대한 공감 형성,같은 기간 근무하는 상사와 주기적인 성과면담은 필요없음. 인사로 교체되면 발령 이전의 성과에 대한 근거자료가 부족함에 따라 증빙자료 보관 및 활용 필요함(성과면담 자체가 하나의 업무가 되고있음),서식을 바꾸지 않았으면 좋겠습니다.,--,"ㅇ 실국장(실과장과 협의), 사업소장에게 실국 전보·전보·보직 직원에 대한 과(사업소는 하부 기관) 전보·전보·보직 권한 부여
  - 일부 중앙부처에서는 장관이 국까지 발령하면 국장이 과별로 재발령을 하고 있음."
-,성과위주 보여주기식 정책 지양,현업무 추진(성과)에 대한 칭찬과 격려가 일을 추진하는데 있어 더 노력 할 수 있도록 한 계기를 만들어 줌,"형식적인 면담이 아니라, 업무 및 업무환경 등 전반에 걸친 면담이 필요함
1인당 할당시간이 너무 짧음(보통 5~10분)",1,기술직렬의 기준이 자주 바뀌어 예측할 수 없음. 전보시 1주일전에 게시하여 인수인계와 거처를 마련할 시간 필요함,"나이, 건강, 가정사, 출산육아 등으로 휴직을 사용한 직원에 대한 근평에 관용이 베풀어지는것은 조직기강을 헤이하게 만듭니다. 그러면 누구나 승진과 거리가 멀때는 휴직을 내고, 승진이 임박하면 복직하여 바짝 근무하면 근평받는 문화가 극심해 질텐데 묵묵하게 조직에서 열심히 맡은 바 업무를 수행하는 직원들에게는 매우 공정·공평합니다. 개인사가 없는 사람은 아무도 없습니다. 그것을 어떻게 최선을 다 해 컨트롤하고 핸들링하느냐가 조직에 대한, 본인 업무에 대한 책임감으로 나타난다고 생각합니다. 아울러, 직렬과 직급에 관계없이 역량이 있고, 부서장이 원하는 직원은 어느 부서든 가서 근무 할 수 있는 환경이 만들어졌으면 좋겠습니다."
"플랫폼을 정착시키기 위한 도민과의 소통역량 배양, 정책 전반을 두루 아우를수 있는 연공서열이 어느정도 되는 직원이 관리하는 것이 필요함
플랫폼 운영 등은 정보빅데이터담당관실에서 검토가 필요함","한정된 자원만 투입 가능한 환경에서 무분별한 수요 제기는 능률성와 효과성을 저해시킴. 모두의 의견이 동일하게 가치가 있는가에 대한 재고가 필요함. 
",직원에 대한 관심으로 사기진작,명확한 성과가 보이는 사업과 없는 사업이 있기 때문에 면담을 위한 성과를 억지로 작성하는 게 힘듭니다.,.,미작성,"직렬간 승진편차가 많이 나지 않도록 복수직 확대를 필요,  조직내 직원.상사간 고충이 있는 직원이 전보 희망전보요청시 우선 전보 실시"
미작성,"도민의 입장에서 생각해보고 정책 제안서를 만들고, 아무리 사소하고 형편없어 보이는 내용이라도 무시하지 않는 윗분들의 자세도 필요하다고 봄",성과를 내기 위해서 각자의 자리에서 노력할 수 있는 여건 마련,1,.....,"- 기피지역 의무적 순환 근무 실시
- 근평 오지 근무 점수 반영
&gt;&gt; 기피지역은 근무했던 사람들도 어떻게든 빨리 들어가고 싶어하고
    인력지원도 힘들기 때문에 남아 있는 사람들은 격무에 시달리는 악순환
    그러면 또 그쪽은 힘들다는 인식이 팽패해 더 기피하게 됨",불만을 모두 없애기엔 힘들겠지만 더 나아질 수 있도록 부탁드립니다.
"의무, 강제적 업무가 아닌 자발적 참여가 가능한 업무 분위기와 다양한 소통 의견 수렴 채널 구성",행정에서의 '성과'개념은 계량화가 어려운 것임을 감안하여 합리적이고도 현성과인 정책설계 및 정책목표 설정이 필요. 간부공무원의 성과내기(도구)를 위한 업무 설계가 되지 않았으면 함.,관심,공개적 장소외의 장소변화 필요,-,"과도한 임기제 임용으로 결재에 많은 시간 허비, 전문직도 아닌 임기제 임용으로 같이 근무하는 직원들의 스트레스",1
직원 충원,명확하고 어려운 단어보다는 좀 더 알기 쉽게 표현하는 정책 홍보가 필요,상급자와의 소통,성과에 대한 객관적인 근평이 가능한지에 대한 의문이 듦,"성과관리는 도민을 위한 정책을 펼치는데 직접적으로 필요한 것이 아니고 효율적으로 일하는데 도움이 되는 수단이어야한다고 생각함
성과관리 자체가 큰 일거리가 된 느낌임","하부직원이 인맥을 떠나 기간이 되면 승진할 수 있는 가능성이 필요, 일부 현장부서 사업소에만 근무할 수 있는 직원들은 승진 가능성 없다는 절망을 안 주게 시스템 필요",.
보고중심업무보다 현장중심 업무필요 ,문어발식 정책을 계속 만들어내기보다 장기적으로 꾸준히 할 수 있어야 합니다.,구체적인 업무 진행 사항과 업무 진행 시 애로 사항을 파악,계량화되지 않는 업무에 대하여 판단하기 어려움,없음,"전보 시 열심히 일잘하는 직원에 대해 업무량이 많거나, 중요도가 높은 업무에 전보·전보·보직하나 그것이 곳 승진으로 근평이나 승진으로 이어지는 것은 아닌듯 합니다. ",기술직렬 배려
SNS 활용 방법,#NAME?,.,현행 성과면담제도는 형식적인 측면이 있음,없습니다.,"근평제도가 가장 개선이 필요하다고 생각함. 
1. 개인정보라는 이유로 인사와 관련해서는 절차와 해당결과 등 정보 공개가 없음.
2. 국 단위로 평정을 해서 인사과(인사위원회든지 아님 전체 실국장이 모여서 하는지, 사실 잘 모름. 공개를 하지 않아)에서 근평을 하는데, 승진 대상자가 속해 있는 국별로 해당 직렬의 비중이 높은 실국의 근평결과를 우선 반영필요. A국에 1명 있는 직렬이 1번을 받아서 올라오고 B국에는 15명 있는데 1번을 받아서 올라오는데,,A국 직원의 순위를 높게 주는 사례가 있었음. 
3. 2번과 같이 하도록 인사에 영향을 미치는 인사위원이 있다면 배제시켜야 함.",-
"도민과 소통하기 위하여 회의 등을 위해서는 너무 많은 에너지가 필요하여, sns를 활용하는 것이 좋은데 업무를 하면서 하는것은 직원들 입장에서는 힘듦. 

하루 정도는 관계부서 직원이 모두 자유롭게 참여하여 도민과 소통할 수 있도록 하는것이 필요 ",의견없음,성과 계획 공유로 소통 활성화,11번 답과 같습니다.,성과라는 말 자체가 본인이 맡은 사무에 대한 책임을 지는 것임. 그러나 정책발굴을 하는 부서도 있지만 민생업무 및 단순 업무를 하는 부서도 있음. 그런 부서에서 일하는 직원과 정책을 만드는 직원과의 차별이 없어야 됨.,현 제도 상 성과를 객관적으로 근평할 수 없음,"도정혁신추진단, 사회혁신추진단, 통합교육훈련추진단, 청년정책추진단, 의회 입법담당관 등 예전에 없던 조직이 늘어나면서 기존 부서에 인원이 부족한 실정임"
공개 관련 교육훈련 및 시스템 활용법,"능동적으로 일할 수 있는 시스템 구축
- 현재는 감사를 대비하여 각종 규제의 한계내에서 업무를 추진할 수 밖에 없는 시스템
- 담당자가 수행할 수 있는 보폭을(허용치) 좀 더 확대한 시스템이 필요",.,"우리조직은 성과를 내는 부서와 직원이 있고 이를 지희망전보전보와 직원들로 구성하여 성과를 내는게 현실인데 개인별로 성과를 근평하는것은
모순이다. 근평을 부서별로 하여 폭넓게 도민들의 삶 질을 높일수 있는 성과를 내도록 유도하여 나가야한다.",10-2 답안 참조,2. 실제 현장에서 묵묵히 일하는 사람이 대우받을 수 있는 근평제도 마련 필요,인사과만 승진을 독점하는 자리가 되지 않았으면 합니다.
"주입식 전문가 교육훈련보다는 직접 체험할 수 있는 교육훈련제도 마련, 업무에 무리가 없는 범위내에서 실시할 수 있도록 교육훈련 기간 등도 조정 필요 ",적극행정 공무원 면책제도,"업무 처리시 문제점이나 애로사항을 상관과 의논하고, 개인적 고충사항에 대해서도 이야기할 수 있는 자리를 만들어 준 것이 좋았음",객관적 매뉴얼 및 근평방식,업무 절차의 간소화로 본연의 정책 깊이있게 추진  ,인사관련 하여 제도 개선의 의지는 있는지... ,없음
잘 모르겠음,.,개인별로 성과목표와 성취에 대하여 상호 토론이 가능함,성과면담의 결과에 대해 신뢰가 가지 않는다.  또 하나의 일만 만드는 것이 아닌가 하는 생각이 든다.,없음,"이전에 근무한 부서로 발령을 자주 낸다는 것은 적소적재적재가 아닐 수도 있다는 것을 판단하지 못한 것임
개인에 대한 역량과 자질과 역량을 잘 근평하여 맞는 업무와 에너지를 낼 수 있는 부서(사람)로 발령을 내어야 하며
그런 시스템을 기업처럼 개발해야 함",따로 없습니다.
공무원에게 또하나의 고민스러운 쓸데없는 일거리가 되지않도록 접근성과 편리성 용이,"실국별,부서별 구축은 예산낭비 및 관리 인력 낭비로 이어질 수 있어, 도 자체적으로 통합적인 플랫폼 구축을 통해
해당 플랫폼 내 분야별 정책을 홍보할 수 있게끔 설계하는 것이 바람직하다고 사료됨",부서장이 개인별 업무에 관심을 가지고 소통할 수 있는 부분이 좋았음,성과결과에 대한 보상,.,일관성 없는 인사와 많은 임기제 채용으로 사기 저하,인사관리는 어렵다. 다양한 사례가 있고 권력자들의 의견에 휘둘리고 그럼에도 원칙을 최대한 지키려고 노력하는것은 알지만 좀더 노력해주기 바람.
이게 서무들이 한다고 됩니까 ? 반영이 되나요 ? ,도민참여 정책제안 활성화,부서장이 앞으로 해야할 업무에 대하여 명확한 방향을 제시하는 계기가 되었음,성과계획 수립의 명확화 선행 필요,음,"직력은 정해진 자리밖에 갈 수 없으며, 그 부서가 고인물 정도가 아니라 썩은물 수준일때 본인의 성장은 물론 
정상적인 직장생활조차 기대하기가 어려움. 
물론 직렬이 중요하긴하나 꼭 해당 직렬이 아니어도 충분히 할 수 있는 일이라고 생각함
물론 전공자, 직렬에 대한 지식도 중요하지만 공통된 업무를 많이 하기떄문에 어느정도 적응기간을 거치면 할 수 있는
희망전보하는 타부서에서도 근무할 수 있거나 인력순환이 어느정도 필요함","인사만사라했습니다. 모두가 평등하고 불만이 없도록은 안되겠지만, 최소한 언제쯤은 승진 되겠고 언제 어느부서로 움직일것인지를 
예측이 가능하도록 인사시스템을 고정하여 운영해주기 바랍니다."
"상사들의 결재, 상사취향, 상사입맛에만 맞는 딱딱한 업무보고, 보도자료식의 홍보자료가 아닌 젊은 직원들의 시각과 관점, 아이디어를 수용하여 현시대 흐름에 맞는 SNS 등의 정책소통 플랫폼 운영  / 또한 관련업무 전속담당직원 선정하여 플랫폼 지속 운영 및 홍보 필요. 도민들은 도에서 지원하는 사업들을 알지못해서 참여하지 못하는 경우가 더많음.  지속적인 홍보와 정보노출을 통해서 최대한 많은 도민들이 참여하고 체감할 수 있는 도정정책을 실행할 수 있어야함. 좋은 사업을 만드는 것도 좋지만 그전에 가장 중요한것은 도민들이 알게 하는 것임.
  ",^^,만족함,성과면담이 제대로 실천되지 못하고 있음,처음 도입되었기에 초기 정착에서 사례를 개선하는 방안으로 방향 ,객관적인 역량보다 아직도 다른 요인들에 의한 불이익을 감수할 수 밖에 없음,인사는 투명하게 정책업무 절차를 쉽고 간결하게 하였으면 좋겠습니다.
현장의 요구를 반영하여 빠르게 소통할 수 있는 방법의 교육훈련,"ㅇ 각 실국 또는 실과별로 기존 정책고객(협회, 단체 등) 모임이 있음.
ㅇ 분기별로 실국 또는 실과에서 자유스럽게 고객과 소통할 수 있도록 회의 예산 등을 지원
   - 때에 따라서는 워크숍 등의 1박 2일 집중 대면 토론도 필요함.",소통의 창구가 되므로,"면담 과정과 결과가 성과근평에 일정부분 영향을 줄 수 있는 방식 고민
- 지금은 너무 형식적임","지금 하고 있는 일의 가치과 파급효과 등을 공유하고 
함께 공동의 목표를 이뤄가기 위한 동기부여 기회 제공이 필요함
무슨일을 열심히 하기 보다는 왜 이 일을 힘들지만 해내야 하는지에 대한
동일한 가치관 공유가 선행되어야 할 것임","전보, 전보·보직의 경우 직원들의 의견을 좀 더반영하여 이루어 질 수 있도록 해주세요.",.
직원들부터가 정책에 대한 이해가 있어야하고 결과중심과 보고중심의 업무추진으로 비효율적인 진행이 되지 않도록 간부공무원 등 교육훈련이 필요함. 또한 SNS등 활용 시 젊은 직원들에게만 시키는 경향이 있으니 6급이상 직원들에게 SNS관련 교육훈련 지원도 필요,"도민과의 소통, 투명 공공정보 공개 등의 취지는 좋으나, 각종 관변단체 및 도의회 관련인사에 의한 외압으로 공정·공평 정책방향 수립 및 추진에 어려움이 매우 크므로 행정을 보호하는 장치역시 꼭 필요함. 따라서 행정의 역할을 보호할 수 있고 우리 공무원들이 기운빠지지 않고 의욕을 가질 수 있는 장치역시 반드시 필요함",직원의 성과를 인정해주고 더 많은 성과를 낼 수 있도록 격려해주었다,성과면담이 공개적인 공간에서 이루어지는 경우 개인프라이버시 침해,근평과 같이 가야함,다양한 분야의 인사인사교류를 통한 내외부적 발전이 필요함,.
"소통 체계의 단순화, 구어체 형태의 친근한 소통법과 실시간 소통이 가능한 업무 환경","정책소통플랫폼을 운영하여 월별 또는 분기별 도민이 필요 사업, 건의사항 등을 수렴",상호 소통,형식적으로 진행됨.,인성 부분도 포함되어야함,"예산, 인사 등 일부 전보·보직에서의 우선적인 승진등이 이루어 진다는 인식이 강함",음
정책의 중요성에 대한 교육훈련,도민이 직간접으로 참여하여 성과가 발생할 시 이를 데티터화하여 참여자엑게(도민) 보상을 주어야 함,만족함,성과가 잘 드러나지 않는 반복적인 업무에 대해서도 성과로 인정될 수 있도록 개선 필요,없음,전보·전보·보직에 따라 공무원들이 가장 중요시 하는 승진이 결정지어지고 때문...,인사가 밀실이 아니라 보다 공개적이고 합리적인 방식으로 공개하게 움직였으면 하는 바램임
담당자의 권한 강화,불필요한 보고서를 줄였으면 좋겠습니다.,업무에 대한 이해를 해주는것,면접보다는 상담의 역할인듯합니다..,지사님 공약사항이나 지시사항 등 언론에 자주 부각되는 업무만을 중요시하는 경향이 다분함.,"승진제도 개선이 필요함. 
",승진 시 현직급 승진일도 중요하지만 최초 발령일 반영필요(시군에서 도청으로 늦게 전입하여 승진이 늦어지는 경우가 많음)
고객의 입장에서 소통하기 쉬운 플랫폼을 운영할 수 있도록 다양한 플랫폼들의 운영실태와 성과에 대한 교육훈련이 필요하다고 생각합니다.,1,평소 본인의 업무에 대해 다시 생각해 보는 계기가 됨,성과면담이 필요한 점은 인정하나 시간부족 등 현성과인 어려움이 있음.,.,전보 같은 경우에 항상 인사 때마다 불평이 나오는 걸로 알고 있습니다. 제도의 특성상 모두를 만족시킬 수 없는 것은 잘 알고 있습니다. 따라서 전보에 대한 기준을 명확히 하여 필수적인 경우 빼고는 그 기준을 준수하여 불만을 최소화 하는 방향으로 시행되었으면 하는 바람이 있습니다. ,인성도 인사관리가 필요함
"직원들에게 정책소통플랫폼에 대해 충분히 알리고, 또 이용방법과 같은 전반적인 사항에 대해 체계적인 교육훈련과 메뉴얼이 만들어지는 것이 좋을 것 같습니다.",체감하는 쉬운 사례를 발굴하여 누구나 접근할 수 있도록 인식 개선이 필요합니다. 체감하는 성과라는 의미가 어렵습니다.,설문 내용이 자세하게 되어있음,실제적인 성과면담 필요,.,"전보의 기준을 가능한 준수해야 하고 전문성이 요구되는 전보·보직에는 본인의 원에 의해 장기간 근무 가능토록 개선
기술직렬의 경우 적체되어(6급→5급) 승진이 극히 어려움, 일정인원은 승진시험 시행 등 방안 검토   ",없음
"성공 사례 교육훈련, 현장활동 지원",#NAME?,결재 시에 하지못하는 부분을 소통할 수 있음,"신규라 한번 밖에 안해봤는데, 조금 형식적으로 하는 느낌입니다.
",자유로운 의견반영이 필요하다고 봅니다,인식개선,인사과 인력을 다양한 직렬로 구성 필요
공감교육훈련,-,면담을 통해 상사와 부하간 이해도 높임,"먼저 업무분장의 공정·공평, 업무이행 자율성 등이 보장선행",없음,"백프로 완벽한 인사가 없다는 것은 직원 모두 잘 알고 있습니다. 그러나, 전보, 전보·전보·보직에서 원칙이 없는 인사는 공정·공평에 대한 의심으로 신뢰를 잃게 됩니다. 조직과 직원 개인간의 신뢰 관계가 밑바탕이 되어야 개인의 동기부여를 통한 조직의 성과를 말할 수 있다고 봅니다. ","조직문화 개선 필요
인맥, 인맥
*불필요한 초과근무수당 개선 필요(5급 관리업무수당으로 대체필요)
"
"정책소통의 이해(취지, 목적 등) -&gt; 목적을 달성할 수 있는 소통방법 -&gt; 정책소통플랫폼의 기술적인 활용방법",도민이 쉽게 제안할 수 있는 제안 창구를 마련하고 제안창구에는 어떤 제안들이 들어오는 지 다른사람들도 공윻할 수 있는 방법 마련 필요,1,투명 재고를 위한 근평 공개 및 이의신청이 자유로워져야함.,업무적으로 맺어진 관계 속에서 문제점 등을 논의하기가 직원 입장에서 어려울 수도 있음. 상하간 인간적인 관계를 맺을 수 있는 시간도 마련하는 것이 필요할 듯함,고생하는 부서나 자리에 우대를 했으면 좋겠음,"조직개편이 있다 할지라도, 관련 업무를 전보제한2년2년하고 나면, 전보할수있게 해주셨으면 합니다."
정책소통플랫폼이 뭔지 교육훈련 필요,"업무보고, 보조자료, 회의자료 등 페이퍼 보고를 위한 행정에 치중되어있는 점을 고치면 좋을듯 합니다.",부서장의 직원 개개인의 신상 파악을 할 수 있음,공개및접근성,자연스럽고 상시적인 소통이 필요함,"기준없는 전보,전보·보직 시행",.
전담직원 지정 및 직원간 적극 협조(자료 공유 등),도민이 직접 정책관리에 참여를 하고 해결되는 과정을 확인할 수 있는 시스템 구축,부서장님께서 업무파악이 잘되어 있어서 공정·공평 심사가 이루어짐,형식에 치우친 면담,.,다양한 업무경험을 위한 인사인사교류 제도 및 부서전보·전보·보직(전보) 등을 최대 전보제한2년2년이 되면 신청할 수 있는 제도 및 분위기 조성이 필요함,업무난이도가 높아서 일정기간 이상의 업무경험이 필요하나 부담감 등으로 인해 전문관으로 근무를 기피하는 자리가 있습니다. 현성과인 인센티브를 부여해서 역량있는 직원들을 유인할 수 있도록 해 주시길 바랍니다.
"정책을 추진하는데에 필요한 기획, 보고, 홍보, 예산지원 등의 전담인원을 넉넉히 차출하여 하나의 부서로 만들고 다른 직원에게 강요하거나 하면 안됨
자기 일도 바쁜데 또다른 업무추가로 여겨지면 더 참여율은 저조할 것임",서비스업종에대한 지원 및 홍보 강화,.,.,없음,교육훈련점수만을 위한 교육훈련훈련으로 운영되고 있다고 생각됨,"정원 대비 현원 전보·전보·보직을 지켜졌으면 함, 지속적 결원으로 업무 부담 가중과 근무 의욕 저하"
유형별로 모범 사례를 발굴하고 플랫폼 구성부터 운영까지 메뉴얼화 하여 점차적으로 확산방식으로 운영 바람직,도민도 어렵지 않고 도청직원도 어렵지 않은 플랫폼 구축,.,소통의 문제이지 굳이 성과면담을 실시할 필요는 없다고 생각함. ,투명 재고를 위한 근평 공개 및 이의신청이 자유로워져야함.,"전보 전보·전보·보직 제도 - 인맥이 아닌 합리적인 기준에 따라 운영되었으면 좋겠음. 
교육훈련훈련 - 교육훈련 들을 시간 부족. 눈치 보고 교육훈련을 들으러가지 못하는 문화 개선 필요","기술직렬인데, 갈 수 있는 과가 2~3과로 제한적입니다. 다양한 과에서 업무경험을 쌓고, 다양한 직렬의 계장님들과 일하고 싶습니다.
부서별로 to를 유연하게 만들어주시면 기술직렬의 역량 향상에 도움이 될 것입니다. "
적극행정 교육훈련,새로운 업무 추가로 직원들의 피로도가 증가 할 것으로 예상되므로 적정 업무량 배분과 시군 동참을 통해 도민 성과 체감도 향상 필요,., 딱딱한 사무실 대신 점심 또는 점심시간 티타임 등 편안하게 의견교환 할수 있는 환경 필요,없음,이미 보이지 않게 정형화된 공식되로 운영됨,"0 모든 직원이 전체연공서열에서 선호부서·보직에 반드시 1회 이상 경험을 쌓도록 제도화
0 주무과·주무과·주무계 주무과·주무계 또는 주무과·주무계에서 근평자료를 처리하는 현행 시스템 개선필요
  -&gt; 일정기간 개인별 성과를 입력하는 정량 중심 시스템 구축(기본적인 인적사항 최초임용일, 승진일 등 포함)
  -&gt; 개인별 업무별 계량화가 현성과로 어렵겠지만 혁신적인 제도도입 필요 
0 선호부서·보직 근무자 현부서 근무횟수 공개(담당업무까지 구체적으로 적시)"
